text,sentiment_score,sentiment_score_llama_3_8b,sentiment_justification,sentiment_score_cardiffnlp/twitter-roberta-base-sentiment-latest,sentiment_score_finiteautomata/bertweet-base-sentiment-analysis,sentiment_score_mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis
Hidden fees on loans are just unethical! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting,-0.81,-1.0,"The text uses strong language ('unethical') and has a tone of disapproval towards hidden fees on loans, indicating a strongly negative sentiment.",-0.85,-0.85,-0.85
Predatory loans are a trap—know the risks before signing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Spending Habits,0.34,-0.7,"The text uses strong language to describe predatory loans, such as 'trap', which indicates a negative sentiment. The tone is warning and cautionary, urging readers to be aware of the risks before committing.",-0.71,-0.71,-0.71
Did you know investing $100 monthly can grow to $50k in 10 years? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Financial Planning,0.11,0.8,"The text states a positive outcome of investing, comparing a small initial investment ($100) with a significant result ($50k). The tone is encouraging and informative, promoting financial literacy and planning.",0.42,0.42,0.42
"Surprisingly, budgeting apps can save up to 20% of expenses. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting",0.99,0.7,"The text expresses a positive surprise and highlights the potential benefits of using budgeting apps, which is likely to generate a positive sentiment. The tone is informative and enthusiastic, with no negative or critical language used.",0.81,0.81,0.81
Imagine achieving financial independence by 40! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investment,-0.14,0.7,"The text uses a motivational tone by suggesting the possibility of achieving financial independence at a relatively young age (40). The use of exclamation mark (!) and words like 'Imagine' also convey a sense of excitement and optimism. Although there is no direct expression of positivity or negativity, the overall tone is encouraging and hopeful.",0.6,0.6,0.6
Predatory loans are a trap—know the risks before signing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Financial Planning,-0.93,0.0,"The text uses neutral language to warn about predatory loans, without expressing strong emotions or biases. The tone is informative and cautionary, rather than emotional or persuasive.",-0.71,-0.71,-0.71
Overspending on credit cards leads to long-term regret. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investment,-0.56,-0.7,"The text uses phrases like 'long-term regret' and 'overspending', which convey a negative tone and suggest that the consequence of overspending is undesirable.",-0.65,-0.65,-0.65
A missed payment can damage your credit score for years. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Spending Habits,-0.02,-1.0,"The text mentions a severe consequence of missing a payment (damaging one's credit score for years), indicating a strongly negative sentiment",-0.73,-0.73,-0.73
Predatory loans are a trap—know the risks before signing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Spending Habits,-0.57,0.0,"The text expresses a neutral sentiment towards predatory loans by stating them as a 'trap', which implies caution and awareness rather than strong positive or negative emotions.",-0.71,-0.71,-0.71
Did you know investing $100 monthly can grow to $50k in 10 years? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Credit Scores,-0.71,0.8,"The text presents a positive and empowering message about the potential of investing, with a specific example that is likely to resonate with readers. The tone is informative and motivational, encouraging people to take control of their finances.",0.41,0.41,0.41
A missed payment can damage your credit score for years. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investment,-0.42,-0.75,"The text mentions a negative consequence of missing a payment (damaging credit score), which suggests a neutral to slightly negative sentiment.",-0.73,-0.73,-0.73
Hidden fees on loans are just unethical! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting,-1.0,-1.0,"The use of the word 'unethical' implies a strong moral disapproval, which suggests a negative sentiment. Additionally, the hashtags such as '#FinancialLiteracy', '#ConsumerBehavior', and '#TrendingTopic: Budgeting' suggest that the speaker is advocating for transparency and fairness in financial dealings, further reinforcing the negative sentiment.",-0.85,-0.85,-0.85
Debt can spiral out of control without careful management. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting,-0.95,-0.5,"The text mentions the possibility of debt spiraling out of control without careful management, which has a slightly negative connotation. However, it also promotes financial literacy and budgeting, which are neutral to positive themes.",-0.61,-0.61,-0.61
"Surprisingly, budgeting apps can save up to 20% of expenses. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Spending Habits",-0.3,0.7,"The text mentions a surprising benefit (20% savings) and uses positive hashtags (#TrendingTopic, #FinancialLiteracy), indicating a generally optimistic tone. The neutral tone of 'Surprisingly' at the beginning also suggests a middle-ground sentiment.",0.77,0.77,0.77
Planning your future starts with small savings today! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Savings,0.67,0.75,"The text has a positive tone as it uses phrases like 'starts with small savings today' and '#TrendingTopic', which suggests that the topic is popular and accessible. The language used is also encouraging and forward-looking, implying that readers should take action to plan their future.",0.58,0.58,0.58
